TargetSiteID,Site name,Site type,Owner type,Company,Easting,Northing,StatusSummary,Status_2012,Status_2013,Status_2014,Status_2015,Status_2016,Status_2017,Status_2018,Status_2019,Status_2020,Survey_2012,Survey_2013,Survey_2014,Survey_2015,Survey_2016,Survey_2017,Survey_2018,Survey_2019,Survey_2020,SPHN_2013,SPHN_2014,SPHN_2015,SPHN_2016,SPHN_2017,SPHN_2018,SPHN_2019,SPHN_2020,Spray_2013,Spray_2014,Spray_2015,Spray_2016,Spray_2017,Spray_2018,Spray_2019,Spray_2020,Nest removal_2013,Nest removal_2014,Nest removal_2015,Nest removal_2016,Nest removal_2017,Nest removal_2018
1739,"Green By Path to 93-109 Victoria Drive, Wandsworth",Residential garden,Private individual(s),,524060,172800,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,"Green O/s 66-75 Chobham Gardens, Wandsworth",Road verge,Local Authority,,523695,172763,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,"Green Space in Esher Gardens, By Inner Park Road And Parkside",Other open space,Unknown,,523548,172770,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,"Green Space, Swanton Gardens",Park / public garden,Local Authority,,523942,173407,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,"Grounds of Ackroydon West Estate, Wandsworth",Residential garden,Private individual(s),,523742,173439,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,"Grounds of Oatlands Court, Wimbledon Parkside",Private garden / land,Public / private organisation,,523655,173470,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,"Grounds of Park Lodge Care Home, Victoria Street",Private garden / land,Public / private organisation,,523751,173585,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,"Grounds of Wimbledon Park Court, Wandsworth",Private garden / land,Public / private organisation,,524603,173187,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,"Hardwycke, Burghley Road, SW19",Residential garden,Private individual(s),,524310,171461,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,"Heath Meadow, SW19",Street tree,Local Authority,,523613,172391,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,"Heathland Court Care Centre, Wimbledon Park Side, SW19",Private garden / land,Public / private organisation,,523521,172425,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,"Hollytree Close, SW18",Residential garden,Private individual(s),,523863,173245,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,"Home Park Road, SW19",Street tree,Local Authority,,524657,171828,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,"Inner Park Road, Wandsworth",Street tree,Local Authority,,523768,173252,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Junction of Beaumont Road And Whitlock Drive,Road verge,Local Authority,,524209,173544,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,"Keevil Drive, Wandsworth",Street tree,Local Authority,,523942,173625,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,"Kenilworth Avenue, SW19",Street tree,Local Authority,,525328,171806,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,"King George's Park, Wandsworth",Park / public garden,Local Authority,London Borough of Wandsworth,525407,174488,Infested,,Not infested,,,,Infested,Infested,Infested,,,Surveyed,,,,Surveyed,Surveyed,Surveyed,,,,,,,,,,,,,,,,,,,,,,,
1757,"Lake Close, Lake Road, SW19",Residential garden,Private individual(s),,524771,171022,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,"Lake Road, SW19",Street tree,Local Authority,,524726,171203,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Land between 70 Gap Road And Network Rail,Other open space,Unknown,,525345,171367,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Land between Edgecombe Hall Estate And Chalfont Mews (access via FB1 Padlock),Other open space,Unknown,,524391,173495,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Leopold Road,Street tree,Local Authority,,524972,171414,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,"Levana Close, Private Cul De Sac",Residential garden,Private individual(s),,524010,173062,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,"Lewesden Close, SW19",Residential garden,Private individual(s),,523799,173172,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,"Lincoln Avenue, SW19",Street tree,Local Authority,,523621,172086,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,"Linden Lodge School, Princes Way, Wandsworth",School grounds,School,,524265,173059,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,"Margin Drive, SW19",Street tree,Local Authority,,523858,171568,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Not named,Other open space,Unknown,,524296,172975,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,O/s 1-32 Tymperley Court,Road verge,Local Authority,,524094,173400,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,"O/s 1-63 Keevil Drive, Wandsworth",Road verge,Local Authority,,524042,173671,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,"O/s 1-8 Verebank, Wimbledon Park Court",Street tree,Local Authority,,524539,173022,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,"O/s 140-144 Castecombe Drive, Wandsworth",Road verge,Local Authority,,523950,173682,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,"O/s 146-256 Keevil Drive, Wandsworth",Road verge,Local Authority,,524055,173649,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,"O/s 15-21 Lindale, Wimbledon Park Estate, Wandsworth",Street tree,Local Authority,,524493,173006,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,"O/s 15-21 Verebank, Wimbledon Park Court",Street tree,Local Authority,,524546,173061,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,O/s 2-88 Keevil Drive,Road verge,Local Authority,,523963,173646,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,"O/s 29 Tibbets Close, Wandsworth?",Street tree,Local Authority,,523754,173140,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,O/s 40-57 Swanton Gardens,Road verge,Local Authority,,523920,173255,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,"O/s Allenswood, Wimbledon Park Estate, Wandsworth",Street tree,Local Authority,,524498,173045,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,"O/s Ambleside, Wimbedon Park Estate, Wandsworth",Street tree,Local Authority,,524472,173028,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,"O/s Banning House, Windlesham Grove",Residential garden,Private individual(s),,523804,173390,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,"O/s Eastwick Court, Sandringham Close, Wandsworth",Road verge,Local Authority,,523824,173449,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,"O/s Grantley House, Windlesham Grove",Road verge,Local Authority,,523770,173402,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,"O/s Mynterne Court, Swanton Gardens",Road verge,Local Authority,,523907,173309,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,"O/s Wainford Close, Windlesham Grove",Road verge,Local Authority,,523852,173400,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,"Oakfield Road, SW19",Street tree,Local Authority,,523937,172307,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,"Oakfields Estate, Somerset Road, SW19",Residential garden,Private individual(s),,524028,172198,Not infested,,Not infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,"Oaklands Estate, Lydney Close, Wandsworth",Street tree,Local Authority,London Borough of Wandsworth,524323,172977,Infested,,Infested,Previously infested,,,,,,,,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,,Spraying,,,,,,,Nest removal,,,,,
1788,"Our Lady & St Peter Catholic Church, Victoria Drive",Residential garden,Private individual(s),Our Lady & St Peter R C Church,523807,173497,Infested,,Not infested,Infested,,,,,,,,Surveyed,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,"Oxford House, Parkside, SW19",Residential garden,Private individual(s),Warwick Estates Property Management,523586,172225,Infested,,Not infested,,Infested,,,,,,,Surveyed,,Surveyed,,,,,,,,SPHN issued,,,,,,,,,,,,,,,,Nest removal,,,
1790,"Parkland Gardens, Inner Park Road, Wandsworth",Residential garden,Private individual(s),,523791,173253,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Parkside Avenue,Street tree,Local Authority,,523823,171576,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,"Parkside Hospital, 53 Parkside, Wimbledon SW19 5NX",Other,Public / private organisation,Parkside Hospital,523621,172236,Infested,,Not infested,Not infested,Infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,,SPHN issued,,,,,,,,,,,,,,,,Nest removal,,,
1793,"Pilsdon Close, Private Residence",Residential garden,Private individual(s),,523749,173241,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,"Pinegreen, 7 Church Hill SW19",Residential garden,Private individual(s),,524648,171207,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,"Pines Court, Victoria Drive",Residential garden,Private individual(s),,523884,173302,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,"Poplar Court, Gap Road, SW19",Residential garden,Private individual(s),,525410,171383,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,"Primary Pupil Referral Unit, Victoria Drive",Private garden / land,Public / private organisation,,524009,173001,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,"Princes Way, Wandsworth",Street tree,Local Authority,,524241,173079,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,"Private Garden, Lincoln Avenue, SW19",Residential garden,Private individual(s),,523691,172244,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,"Private Garden, Seymour Road, SW19",Residential garden,Private individual(s),,523766,172273,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,"Queensmere Road, SW19",Street tree,Local Authority,,523553,172589,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,"Rear of Eastwick Court, Victoria Drive",Residential garden,Private individual(s),,523865,173467,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,"Ronald Ross Primary School, Beaumont Road, Wandsworth",School grounds,School,,524066,173790,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,"Roosevelt Court, 84a Augustus Road, Wandsworth",Residential garden,Private individual(s),,524099,173161,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,"Roxburgh House, 40 Burghley Road",Residential garden,Private individual(s),,524042,171810,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,"Royal Benevolent Medical Fund, 24 Kings Road, SW19",Private garden / land,Public / private organisation,,525134,170687,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,"Sandringham Close, Wandsworth",Street tree,Local Authority,,523870,173503,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,"Selhurst Close, SW19",Residential garden,Private individual(s),,523593,173098,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,"Simon Lodge, Victoria Drive, Wandsworth",Residential garden,Private individual(s),,524006,173016,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,"Skeena Hill, SW18 Wandsworth",Street tree,Local Authority,,524131,173655,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,"Somerset Road, SW19",Street tree,Local Authority,,523992,172065,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,"Southfields Station, TFL London Underground",Railway / underground,TFL,,524715,173317,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,"Southmead Primary School, Victoria Drive",School grounds,School,,523993,173314,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,"St Aubyns Avenue, SW19",Street tree,Local Authority,,524639,171328,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,"St Marys Church, St Marys Road SW19",Private garden / land,Public / private organisation,,524492,171407,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,"St Marys Road, SW19",Street tree,Local Authority,,524557,171086,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,"St Pauls Church, Augustus Road, Wandsworth",Private garden / land,Public / private organisation,,523863,173081,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,"Stapleford Close, Wandsworth",Residential garden,Private individual(s),,524074,173543,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,"The Green House, 86 Augustus Road, Wandsworth",Residential garden,Private individual(s),,524054,173151,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,"The Parkside Estate, Carnegie Place SW19",Street tree,Local Authority,,523579,172382,Not infested,,Not infested,Not infested,Not infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,"Tibbets Close, Wandsworth",Street tree,Local Authority,,523782,173140,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,"Trackside tree, TFL District Line LUL",Railway / underground,TFL,,524727,173210,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,"Vicarage, 116 Augustus Road, Wandsworth",Residential garden,Private individual(s),,523932,173055,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,"Victoria Drive, Wandsworth",Street tree,Local Authority,London Borough of Wandsworth,523763,173552,Infested,,Infested,Infested,,,,,,,,Surveyed,Surveyed,,,,,,,SPHN issued,SPHN issued,,,,,,,,Spraying,,,,,,,Nest removal,,,,,
1828,"Waitrose,Alexandra Road, Wimbledon",Private garden / land,Public / private organisation,Waitrose Ltd,525188,171259,Infested,,Infested,Not infested,Not infested,,,,,,,Surveyed,Surveyed,Surveyed,,,,,,SPHN issued,SPHN issued,SPHN issued,,,,,,,Spraying,Spraying,,,,,,Nest removal,,,,,
1829,"Weavers, 25 Cadonne Road, SW19. Private House",Residential garden,Private individual(s),,523908,171781,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,"Welford Place, SW19",Residential garden,Private individual(s),,524306,171601,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,"West House Close, SW19",Street tree,Local Authority,,524111,173384,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,"Westwood Court, Woodside Road, SW19",Residential garden,Private individual(s),,524818,171062,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,"Smithwood Close, Wandsworth",Residential garden,Private individual(s),,524130,173003,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,"Whitlock Drive, Wandsworth (by Edgecombe Hall Pond)",Street tree,Local Authority,,524378,173379,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,"Wimbledon And District Synagogue, 1 Queensmere Road, SW19",Private garden / land,Public / private organisation,,523547,172598,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,"Wimbledon Park Court, Wandsworth (car Park)",Car park,Private individual(s),,524578,173171,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Wimbledon Parkside,Residential garden,Private individual(s),,523690,173465,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,"Windlesham Grove, entry to Ackroydon Estate",Street tree,Local Authority,,524064,173437,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,Windlesham Grove,Street tree,Local Authority,,523762,173349,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Long Lane Wood,Woodland,Local Authority,London Borough of Croydon,535550,167594,Infested,,Infested,Infested,Infested,Infested,Infested,Infested,,,,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,,,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,SPHN issued,,Spraying,Spraying,Spraying,Spraying,Spraying,Spraying,Spraying,Nest removal,Nest removal,Nest removal,Nest removal,,
1843,58 Brabourne Rise,Residential garden,Private individual(s),,538624,167975,Not infested,,Not infested,,,,,,,,,Surveyed,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,92 Brabourne Rise,Residential garden,Private individual(s),,538438,167819,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,3 Whitecroft Way,Residential garden,Private individual(s),,538667,168514,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,85 Hayes Way,Residential garden,Private individual(s),,538903,168318,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,97 Hayes Way,Residential garden,Private individual(s),,538925,168266,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,81b Elwill Way,Residential garden,Private individual(s),,538808,168096,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,3 Whitecroft Close,Residential garden,Private individual(s),,538570,168375,Not infested,,Not infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,65 Whitecroft Way,Residential garden,Private individual(s),,538437,167999,Not infested,,Not infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,81 Elwell Way,Residential garden,Private individual(s),,538848,168161,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Spring Park (City of London),Woodland,Local Authority,City of London Corporation,538100,164900,Not infested,,Not infested,,Not infested,Not infested,,,,,,Surveyed,,Surveyed,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,22 Hayes Way,Residential garden,Private individual(s),,538359,168514,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,"1 McKay Road, SW20 0HT",Residential garden,Private individual(s),,523114,170566,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,"1 Ridgeway Gardens, SW19",Residential garden,Private individual(s),,523724,170478,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,"15 The Grange, SW19",Residential garden,Private individual(s),,523942,170817,Not infested,,Not infested,Not infested,Not infested,,,,,,,Surveyed,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,"18 Clifton Road, SW19",Residential garden,Private individual(s),,523587,170708,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,"188 Coombe Lane, SW20 0QT",Residential garden,Private individual(s),,522611,169465,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,"20 Melbury Gardens, SW20 0DJ",Residential garden,Private individual(s),,522795,169879,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,"20 The Drive, SW20 8TG",Residential garden,Private individual(s),,523385,170154,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,"201 Coombe Lane, SW20 0RG",Residential garden,Private individual(s),,522545,169495,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,"218 Coombe Lane, SW20 0QT",Residential garden,Private individual(s),,522488,169531,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,"228 Coombe Lane, SW20 0QT",Residential garden,Private individual(s),,522454,169550,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,"236 Coombe Lane, SW20 0QT",Residential garden,Private individual(s),,522424,169566,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,"25A Cambridge Road, SW20 0QB",Residential garden,Private individual(s),,522933,169705,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,"262 Coombe Lane, SW20 0RW",Residential garden,Private individual(s),,522291,169629,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,"26B Cottenham Park Road, SW20 0SA",Residential garden,Private individual(s),,523083,170084,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,"3 Cranbrook Road, SW19",Residential garden,Private individual(s),,524293,170224,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,"30 Arterberry Road, SW20 8AH",Residential garden,Private individual(s),,523420,170096,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,"30A Arterberry Road, SW20 8AH",Residential garden,Private individual(s),,523402,170139,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,"4 Clifton Road, SW19",Residential garden,Private individual(s),,523688,170599,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,"4 Ridgeway Gardens, SW19",Residential garden,Private individual(s),,523752,170439,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,"48 Cottenham Park Road, SW20 0SA",Residential garden,Private individual(s),,522930,170007,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,"5 Copse Hill, SW20 0NB",Residential garden,Private individual(s),,523112,170281,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,"5 Cottenham Park Road, SW20 0RX",Residential garden,Private individual(s),,523196,170227,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,"55 Cottenham Park Road, SW20 0DR",Residential garden,Private individual(s),,522919,169970,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,"57 Lambton Road, SW20 0LW",Residential garden,Private individual(s),,523108,169599,Not infested,,Not infested,Not infested,,,,,,,,Surveyed,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,"72 Richmond Road, SW20 0PD",Residential garden,Private individual(s),,522736,169488,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,"8C Peregrine Way / Woodhayes Road, SW19 4RN",Residential garden,Private individual(s),,523218,170381,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,"Carriage House, 108A Ridgeway, SW19 4RD",Residential garden,Private individual(s),,523294,170310,Not infested,,Not infested,,,,,,,,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,"Coombe Lane, SW20, Merton",Street tree,Local Authority,,522629,169435,Not infested,,Not infested,,Not infested,,,,,,,Surveyed,,Surveyed,,,,,,,,,,,,,,,,,,,,,,,,,,,
